2000,30.3
2001,22.7
2002,22.5
2003,31.4
2004,32.2
2005,29.3
2006,28.7
2007,28.7
2008,27
2009,21.2
2010,21.6
2011,23.3
2012,23.8
2013,15.8
2014,21.5
