1911,,,,,,,,,,,,
1912,,,,,,,,,,,,
1913,,,,,,,,,,,,
1914,,,,,,,,,,,,
1915,,,,,,,,,,,,
1916,,,,,,,,,,,,
1917,,,,,,,,,,,,
1918,,,,,,,,,,,,
1919,,,,,,,,,,,,
1920,,,,,,,,,,,,
1921,,,,,,,,,,,,
1922,,,,,,,,,,,,
1923,,,,,,,,,,,,
1924,,,,,,,,,,,,
1925,,,,,,,,,,,,
1926,5.2666666667,8.0666666667,9.7666666667,26.3,25.1333333333,22.9333333333,18.8,3.4333333333,8.3,8.8333333333,7.0666666667,4.7333333333
1927,4.3666666667,3.2333333333,10.1,13.7666666667,37.5,4.2,4.6,5.7,12.4333333333,2.3666666667,10.9,11.3666666667
1928,7.5333333333,3.3,10.6666666667,23.4,33.3333333333,11.7666666667,16.8666666667,23.8333333333,15.9333333333,9,12.3333333333,9.0666666667
1929,2.7333333333,6.3,6.4333333333,14.4666666667,37.1666666667,16.7666666667,19.7666666667,5.4333333333,7.3,3.8,5.2333333333,4.9
1930,1.8,6.2333333333,7.9,24.1333333333,22.1333333333,22.0333333333,5.7333333333,20.7666666667,2.2333333333,14.3,2.2,12.1
1931,6.3333333333,3,6,18.3333333333,34.6666666667,33.6666666667,14.6666666667,7.3333333333,0.6666666667,18.6666666667,11,8.3333333333
1932,5.6666666667,4.3333333333,7.6666666667,30,38.6666666667,16.3333333333,15.6666666667,18.3333333333,8.2333333333,14.3666666667,12.2,4.8333333333
1933,1.2333333333,6.4333333333,14.9,12.7,34.0666666667,28.9333333333,7.4333333333,0.8,18.5333333333,12.9666666667,7.0333333333,6.2666666667
1934,1.9,12.0333333333,22.5666666667,27.6666666667,35.6666666667,33,41,10.6666666667,24.6666666667,11.6666666667,9.3333333333,10.6333333333
1935,2,4.6666666667,27.7333333333,13,16,24.6666666667,15.3333333333,0.6666666667,16.3333333333,13,20.3333333333,10.6666666667
