"1911",
"1912",5.42333333333333
"1913",10.184
"1914",9.70666666666667
"1915",9.05133333333333
"1916",9.44
"1917",8.19916666666667
"1918",13.6513333333333
"1919",12.1533333333333
"1920",7.726
"1921",10.5093333333333
"1922",
"1923",
"1924",
"1925",11.94875
"1926",9.925
"1927",6.41666666666667
"1928",6.66
"1929",6.31866666666667
"1930",9.072
"1931",7.49266666666667
"1932",6.29533333333333
"1933",7.43933333333333
"1934",7.642
"1935",7.576
"1936",6.16866666666667
"1937",5.93733333333333
"1938",5.08266666666667
"1939",6.53533333333333
"1940",5.54466666666667
"1941",7.20866666666667
"1942",9.15733333333333
"1943",7.01466666666667
"1944",7.9
"1945",6.68
"1946",6.488
"1947",6.284
"1948",6.54933333333333
"1949",6.724
"1950",7.186
"1951",5.25266666666667
"1952",7.076
"1953",7.49266666666667
"1954",5.97733333333333
"1955",7.02666666666667
"1956",8.148
"1957",5.89133333333333
"1958",7.39666666666667
"1959",6.99466666666667
"1960",6.04
"1961",7.498
"1962",7.53333333333333
"1963",6.932
"1964",6.50333333333333
"1965",6.00066666666667
"1966",8.33133333333334
"1967",6.38
"1968",7.91
"1969",6.836
"1970",8.84266666666667
"1971",7.204
"1972",5.54533333333333
"1973",8.02133333333333
"1974",6.61933333333333
"1975",7.70466666666667
"1976",7.48933333333333
"1977",8.61666666666667
"1978",7.67866666666667
"1979",8.968
"1980",8.4
"1981",7.32666666666667
"1982",6.55666666666667
"1983",10.0173333333333
"1984",9.56
"1985",7.32733333333333
"1986",6.71933333333333
"1987",9.11066666666667
"1988",10.338
"1989",6.226
"1990",8.356
"1991",6.71466666666667
"1992",7.96533333333333
"1993",7.478
"1994",9.46266666666667
"1995",9.27866666666667
"1996",7.892
"1997",10.7153333333333
"1998",8.926
"1999",8.44066666666667
"2000",9.97666666666667
"2001",9.19333333333333
"2002",10.3026666666667
"2003",8.66666666666667
"2004",7.89066666666667
"2005",3.98285714285714
"2006",8.856
"2007",7.82266666666667
"2008",9.188
"2009",7.302
"2010",9.94866666666667
"2011",10.28
"2012",9.49066666666667
